,Data,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
15340,01/01/2003,0.0,30.2,20.6,9.1,2.4,24.62,85.75,1.833333
15341,02/01/2003,31.0,28.2,20.7,0.3,2.3,23.76,88.25,2.666667
15342,03/01/2003,17.2,26.8,20.2,1.3,1.3,22.86,88.75,1.566667
15343,04/01/2003,13.1,27.0,20.0,3.5,1.4,22.12,91.75,3.666667
15344,05/01/2003,11.0,27.0,20.0,0.6,2.0,22.68,84.25,4.0
15345,06/01/2003,20.2,27.0,21.2,0.3,1.5,22.76,90.75,2.666667
15346,07/01/2003,9.4,29.2,20.6,4.2,0.9,24.04,80.25,4.0
15347,08/01/2003,0.0,32.4,21.0,6.9,2.8,24.6,77.25,3.5
15348,09/01/2003,11.3,32.6,19.4,11.0,2.7,25.72,71.0,2.066667
15349,10/01/2003,0.0,33.8,20.4,10.6,4.5,26.24,73.0,2.5
15350,11/01/2003,0.0,32.0,20.0,2.3,5.1,22.84,92.25,3.666667
15351,12/01/2003,79.0,31.0,19.0,5.9,2.2,23.8,82.25,1.066667
15352,13/01/2003,39.6,30.0,18.8,6.4,2.9,23.6,81.5,1.566667
15353,14/01/2003,2.6,28.5,20.4,4.7,0.0,23.94,85.25,1.0
15354,15/01/2003,7.8,29.6,20.2,4.7,2.8,23.76,88.5,1.9333330000000002
15355,16/01/2003,11.7,29.0,20.2,5.6,1.9,24.0,77.0,2.933333
15356,17/01/2003,0.0,29.0,20.1,8.1,3.2,22.9,82.5,4.566667
15357,18/01/2003,107.8,28.8,20.0,8.7,4.0,23.68,82.75,4.5
15358,19/01/2003,4.4,29.3,21.0,5.3,3.1,23.08,84.75,4.0
15359,20/01/2003,24.7,30.3,20.8,5.0,2.4,23.82,81.25,2.1333330000000004
15360,21/01/2003,33.9,28.6,20.6,2.5,2.2,23.16,89.0,1.166667
15361,22/01/2003,18.5,27.6,20.4,3.2,2.2,23.2,80.5,3.1
15362,23/01/2003,2.4,30.0,20.0,3.6,3.2,23.16,78.5,4.8333330000000005
15363,24/01/2003,3.2,30.8,20.4,4.5,3.0,24.08,81.25,2.666667
15364,25/01/2003,0.0,30.0,18.6,5.5,3.0,22.72,89.25,1.8666669999999999
15365,26/01/2003,32.2,29.6,19.6,3.6,1.8,23.76,83.75,0.666667
15366,27/01/2003,0.4,29.0,20.4,2.2,2.2,22.56,91.5,1.5
15367,28/01/2003,42.7,28.6,19.4,3.0,2.0,22.32,84.5,1.666667
15368,29/01/2003,5.8,27.4,20.2,2.5,1.8,22.48,85.75,1.8666669999999999
15369,30/01/2003,14.2,27.0,19.8,0.4,1.9,21.36,86.0,1.7333330000000002
15370,31/01/2003,6.2,26.5,20.0,1.0,2.2,23.18,86.5,2.0
15371,01/02/2003,0.5,31.4,18.4,11.1,2.1,24.96,61.5,2.1
15372,02/02/2003,0.0,31.7,17.5,10.9,5.0,24.38,64.75,3.233333
15373,03/02/2003,0.0,32.2,19.0,10.5,5.5,24.0,71.0,2.066667
15374,04/02/2003,7.7,32.0,18.8,8.9,4.7,25.16,65.75,1.333333
15375,05/02/2003,4.6,31.8,20.0,6.7,4.1,24.08,75.25,5.4
15376,06/02/2003,14.7,31.4,20.0,4.4,3.2,23.2,82.5,1.6
15377,07/02/2003,18.6,31.9,20.0,8.2,2.8,25.1,81.25,2.5
15378,08/02/2003,6.0,31.8,19.4,9.6,2.6,24.96,70.75,0.0
15379,09/02/2003,0.0,32.4,19.8,11.4,4.8,25.28,68.5,2.066667
15380,10/02/2003,0.0,33.2,19.2,11.9,5.6,25.12,60.0,2.333333
15381,11/02/2003,0.0,33.6,18.4,11.4,6.2,25.04,68.5,1.333333
15382,12/02/2003,0.0,33.4,19.4,7.6,5.2,24.6,69.75,1.5
15383,13/02/2003,5.0,31.4,19.8,7.9,3.8,24.6,72.25,2.566667
15384,14/02/2003,4.8,28.8,19.4,1.5,4.0,22.12,91.5,1.9333330000000002
15385,15/02/2003,30.6,25.5,19.5,1.2,1.8,21.58,91.0,2.0
15386,16/02/2003,18.7,26.3,19.0,1.1,1.4,22.26,86.25,3.0
15387,17/02/2003,3.9,24.8,20.6,0.4,1.9,22.12,93.75,2.0
15388,18/02/2003,13.9,30.2,19.4,5.7,1.0,23.64,82.75,2.4
15389,19/02/2003,18.6,30.0,20.2,6.3,2.1,23.24,83.5,2.933333
15390,20/02/2003,17.8,30.4,20.6,3.2,2.9,23.6,87.0,1.4
15391,21/02/2003,1.2,31.7,20.4,8.7,2.6,24.18,77.5,1.566667
15392,22/02/2003,0.2,29.8,20.0,4.6,3.0,22.88,79.5,1.333333
15393,23/02/2003,3.4,31.0,17.0,9.5,2.2,23.76,68.25,2.5333330000000003
15394,24/02/2003,0.0,31.6,18.2,11.4,5.6,23.96,58.75,2.833333
15395,25/02/2003,0.0,32.8,17.6,12.0,6.8,24.76,58.25,1.7333330000000002
15396,26/02/2003,0.0,33.7,17.4,11.8,4.2,25.74,54.25,0.6
15397,27/02/2003,0.0,34.5,19.8,10.7,7.7,25.66,66.25,2.0
15398,28/02/2003,20.4,34.4,19.8,11.4,5.3,26.4,60.5,1.666667
15399,01/03/2003,0.0,33.6,19.3,11.0,5.7,24.24,62.75,2.0
15400,02/03/2003,65.5,28.6,18.4,3.0,5.5,21.78,82.75,2.6
15401,03/03/2003,2.4,31.4,18.2,4.8,2.0,22.12,78.5,4.6
15402,04/03/2003,0.2,32.4,18.4,8.0,3.3,24.4,70.0,2.666667
15403,05/03/2003,3.0,31.8,19.2,8.7,3.5,24.44,75.0,0.6
15404,06/03/2003,0.0,32.0,18.2,10.9,3.1,25.16,60.75,3.0
15405,07/03/2003,0.0,32.0,20.4,6.2,6.2,24.4,74.75,2.0
15406,08/03/2003,0.0,26.4,20.0,3.1,5.2,22.2,82.75,0.0
15407,09/03/2003,0.0,27.8,20.0,5.4,2.0,23.16,78.25,1.666667
15408,10/03/2003,13.4,25.0,19.6,0.7,1.6,21.68,89.0,2.233333
15409,11/03/2003,1.9,27.8,19.8,2.4,3.0,22.84,83.0,2.8
15410,12/03/2003,0.0,29.4,20.4,2.5,3.0,22.96,90.0,2.666667
15411,13/03/2003,15.0,24.6,20.4,1.0,2.0,21.92,85.0,0.68592
15412,14/03/2003,18.0,31.0,18.2,9.3,1.2,23.6,74.75,1.666667
15413,15/03/2003,0.0,31.2,19.2,6.3,1.2,24.24,78.75,3.0
15414,16/03/2003,4.8,28.4,20.2,5.0,3.0,23.08,77.5,3.066667
15415,17/03/2003,50.2,30.6,19.7,5.3,3.2,22.18,82.5,1.666667
15416,18/03/2003,1.2,24.8,19.0,0.0,2.8,20.76,86.5,1.0
15417,19/03/2003,0.0,30.2,19.4,7.8,2.0,23.0,77.5,2.066667
15418,20/03/2003,0.0,30.0,19.0,6.7,3.5,22.96,80.0,1.333333
15419,21/03/2003,18.0,27.8,19.8,3.3,3.4,22.24,84.25,0.8
15420,22/03/2003,6.7,31.1,18.2,7.5,1.7,23.42,79.75,0.733333
15421,23/03/2003,0.0,31.1,19.8,9.3,2.6,23.72,77.25,0.933333
15422,24/03/2003,19.5,30.4,19.6,7.6,2.9,23.4,78.75,2.333333
15423,25/03/2003,0.7,30.6,19.2,6.6,3.3,22.6,80.5,1.4
15424,26/03/2003,93.6,21.6,19.0,0.0,2.8,19.88,87.75,0.4
15425,27/03/2003,22.4,23.3,18.6,0.2,1.0,20.5,87.5,2.0
15426,28/03/2003,0.4,29.0,17.8,7.9,1.0,22.84,73.25,1.266667
15427,29/03/2003,0.0,30.0,16.0,10.5,3.5,22.4,66.25,1.666667
15428,30/03/2003,0.0,30.4,18.2,10.1,4.8,23.88,65.75,1.666667
15429,31/03/2003,0.0,31.0,20.6,9.1,5.8,23.68,69.75,2.666667
15430,01/04/2003,0.0,31.2,19.0,7.8,4.2,23.52,78.25,1.8666669999999999
15431,02/04/2003,1.2,32.4,18.4,9.1,3.8,23.8,72.25,1.5
15432,03/04/2003,2.3,28.4,20.0,1.1,4.3,22.48,86.5,1.333333
15433,04/04/2003,0.0,30.6,19.0,0.0,1.9,22.12,88.75,0.0
15434,05/04/2003,23.6,28.0,16.8,10.4,0.9,22.16,76.0,0.666667
15435,06/04/2003,0.0,27.6,17.8,4.1,3.0,21.92,88.25,1.333333
15436,07/04/2003,1.0,28.2,18.4,8.2,1.5,22.56,79.25,1.4
15437,08/04/2003,0.0,29.8,19.4,5.0,2.9,22.76,81.5,1.266667
15438,09/04/2003,1.8,30.7,19.2,6.8,2.0,23.26,82.0,2.5
15439,10/04/2003,26.0,24.0,18.8,0.1,2.5,20.48,96.5,0.933333
15440,11/04/2003,16.2,25.4,18.4,1.3,0.1,21.36,86.0,0.0
15441,12/04/2003,0.0,25.8,18.3,3.9,1.7,20.1,66.75,1.333333
15442,13/04/2003,0.0,28.8,10.9,10.5,3.0,20.06,65.0,0.833333
15443,14/04/2003,0.0,27.4,16.8,5.7,5.1,21.56,76.25,3.333333
15444,15/04/2003,0.9,25.4,19.2,0.7,3.2,21.16,85.0,0.6
15445,16/04/2003,0.0,30.0,16.4,8.9,2.0,22.44,69.0,0.933333
15446,17/04/2003,0.0,30.0,17.6,11.0,3.8,22.64,62.0,1.666667
15447,18/04/2003,0.0,30.4,18.6,10.2,7.0,23.56,65.75,2.666667
15448,19/04/2003,0.0,31.4,20.0,9.5,6.8,24.08,68.5,2.333333
15449,20/04/2003,0.0,30.0,19.0,5.5,5.8,23.0,74.75,0.333333
15450,21/04/2003,0.0,31.4,19.0,6.6,2.0,23.24,68.0,0.0
15451,22/04/2003,0.0,30.0,17.8,10.8,5.0,22.76,64.75,2.333333
15452,23/04/2003,0.0,30.8,16.2,10.1,5.4,22.76,63.5,3.6
15453,24/04/2003,0.0,30.4,18.0,10.0,6.0,22.96,64.5,1.4
15454,25/04/2003,0.0,31.0,17.8,10.7,4.6,23.84,63.25,2.933333
15455,26/04/2003,0.0,31.6,18.2,10.8,5.1,24.0,63.25,2.4666669999999997
15456,27/04/2003,0.0,31.8,17.4,8.9,5.8,23.4,61.5,2.266667
15457,28/04/2003,0.0,32.8,16.2,10.7,5.8,23.08,59.25,0.4
15458,29/04/2003,0.0,31.6,16.0,10.0,6.2,22.88,61.0,1.0
15459,30/04/2003,0.0,31.0,16.2,10.6,5.2,23.04,56.75,0.4
15460,01/05/2003,0.0,31.0,16.0,10.8,6.0,22.4,60.25,0.4
15461,02/05/2003,0.0,30.0,14.2,10.4,7.6,22.4,62.5,0.333333
15462,03/05/2003,3.2,27.2,18.2,9.1,3.8,21.04,74.5,0.7
15463,04/05/2003,0.0,28.2,14.8,8.4,3.9,20.6,74.25,2.333333
15464,05/05/2003,5.1,28.2,16.2,4.4,3.9,20.92,91.25,2.8
15465,06/05/2003,48.0,21.0,16.0,0.3,1.8,17.76,90.0,2.0
15466,07/05/2003,0.0,21.2,10.0,8.7,1.0,13.8,70.25,2.066667
15467,08/05/2003,0.0,21.4,6.0,10.6,0.8,12.52,67.0,0.0
15468,09/05/2003,0.0,23.6,5.2,8.4,3.0,13.64,70.0,0.6
15469,10/05/2003,0.0,24.4,9.2,8.9,3.5,16.12,62.0,2.933333
15470,11/05/2003,0.0,26.6,9.8,10.7,5.3,18.08,59.5,2.1333330000000004
15471,12/05/2003,0.0,26.0,14.0,8.1,5.2,18.44,61.75,1.333333
15472,13/05/2003,0.0,26.0,16.0,9.6,3.8,18.8,65.25,2.6
15473,14/05/2003,0.0,27.0,12.4,9.9,4.4,19.84,59.5,2.333333
15474,15/05/2003,0.0,28.4,14.6,10.6,2.4,20.08,66.0,2.4
15475,16/05/2003,0.0,28.0,15.8,10.8,2.4,20.36,66.5,3.333333
15476,17/05/2003,0.0,28.0,16.0,10.6,8.3,20.08,65.5,1.666667
15477,18/05/2003,0.0,28.4,13.0,10.7,5.5,20.04,60.5,0.333333
15478,19/05/2003,0.0,28.8,11.4,10.3,4.0,19.92,63.25,2.6
15479,20/05/2003,0.0,29.33,15.4,8.6,4.8,22.64,67.5,3.0
15480,21/05/2003,0.0,29.33,16.2,9.6,3.6,22.64,58.5,2.4666669999999997
15481,22/05/2003,0.0,29.33,15.4,10.1,6.8,22.64,58.75,1.0
15482,23/05/2003,0.0,29.33,15.4,9.1,7.2,22.64,68.75,4.6666669999999995
15483,24/05/2003,0.0,29.33,15.2,0.1,6.2,22.64,92.0,3.0
15484,25/05/2003,0.0,29.33,9.0,10.3,0.8,22.64,68.75,1.333333
