,Data,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
15340,01/01/2003,1.5,30.5,18.8,7.8,2.8,23.02,81.25,2.0333330000000003
15341,02/01/2003,8.0,28.5,19.4,2.9,3.4,22.9,81.25,1.7666669999999998
15342,03/01/2003,25.9,27.7,19.0,0.4,2.7,21.94,88.0,1.6
15343,04/01/2003,49.4,25.5,19.2,1.5,1.7,21.14,96.0,3.0333330000000003
15344,05/01/2003,16.0,23.7,19.0,0.2,1.2,20.62,95.0,2.933333
15345,06/01/2003,25.4,22.9,19.8,0.0,1.1,21.18,97.5,2.3666669999999996
15346,07/01/2003,15.0,27.7,19.8,2.4,0.5,22.46,86.25,1.6
15347,08/01/2003,15.0,28.3,19.0,2.6,2.3,22.18,84.25,1.9
15348,09/01/2003,1.3,30.7,19.0,11.1,2.3,24.86,68.0,2.066667
15349,10/01/2003,0.0,32.5,20.2,10.1,5.6,25.58,68.0,3.2
15350,11/01/2003,35.8,28.1,17.2,1.2,12.4,21.22,85.75,2.0333330000000003
15351,12/01/2003,0.4,28.9,18.4,3.4,2.5,22.14,80.0,1.8
15352,13/01/2003,3.8,29.5,18.8,7.1,2.8,22.14,80.25,1.5
15353,14/01/2003,4.0,25.7,18.8,1.3,3.5,21.94,89.25,2.166667
15354,15/01/2003,32.2,29.7,19.6,4.5,1.5,22.3,81.75,1.4
15355,16/01/2003,8.5,26.9,19.8,3.2,2.4,22.66,87.25,2.5333330000000003
15356,17/01/2003,5.2,25.1,19.8,1.6,2.3,21.1,91.75,1.9333330000000002
15357,18/01/2003,26.0,26.9,19.0,7.2,1.6,22.38,82.25,2.4666669999999997
15358,19/01/2003,13.8,24.3,19.6,1.0,3.4,21.1,93.75,2.2
15359,20/01/2003,140.8,26.7,18.8,3.7,0.6,21.42,91.0,1.633333
15360,21/01/2003,8.6,25.5,19.6,1.2,1.6,21.38,90.25,3.6
15361,22/01/2003,8.6,25.7,19.8,1.3,1.6,21.38,93.5,3.0333330000000003
15362,23/01/2003,15.6,26.7,19.0,3.6,2.0,21.82,82.0,2.1333330000000004
15363,24/01/2003,0.0,29.5,19.0,9.5,3.6,24.18,64.0,1.9666669999999997
15364,25/01/2003,0.0,28.9,20.4,8.0,6.6,23.58,73.0,2.6333330000000004
15365,26/01/2003,0.0,28.9,19.4,5.2,5.6,23.06,74.75,2.733333
15366,27/01/2003,0.0,26.9,18.6,2.5,5.1,21.66,84.25,2.3
15367,28/01/2003,24.2,26.3,18.6,3.4,1.7,20.94,87.75,3.066667
15368,29/01/2003,15.6,25.7,19.2,2.9,2.7,20.86,96.25,2.2
15369,30/01/2003,37.4,21.9,19.0,0.3,1.4,20.1,92.0,3.0333330000000003
15370,31/01/2003,5.4,27.9,18.8,4.9,1.3,22.14,78.5,3.233333
15371,01/02/2003,5.4,30.1,18.6,11.0,4.9,23.46,64.75,3.4666669999999997
